,sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,famsup,internet,romantic,famrel,freetime,goout,Dalc,health,absences,G1,G2,G3
314,1,19,0,1,1,1,1,3,2,0,1,1,4,1,2,2,3,14,15,13,13
315,1,19,0,1,2,3,1,3,1,0,1,1,4,1,2,2,3,40,13,11,11
316,1,18,0,1,2,1,2,2,0,1,1,0,5,3,3,3,1,0,8,8,0
317,1,18,0,1,4,3,1,3,0,1,1,1,4,3,4,2,5,9,9,10,9
318,1,17,0,1,3,4,1,3,0,1,1,0,4,3,4,7,5,0,11,11,10
319,1,18,0,1,4,4,1,2,0,1,1,0,4,4,4,6,5,2,11,11,11
320,1,17,0,0,4,3,1,2,0,1,1,1,5,2,2,3,5,23,13,13,13
321,1,17,0,1,2,2,1,2,0,1,0,1,4,2,2,2,3,12,11,9,9
322,1,17,1,1,2,2,1,3,0,1,1,0,3,3,2,4,3,3,11,11,11
323,1,17,0,1,3,1,1,3,0,1,1,0,3,4,3,5,5,1,12,14,15
324,1,17,1,1,0,2,2,3,0,0,1,0,3,3,3,5,2,0,16,15,15
325,0,18,0,1,4,4,1,3,0,0,1,0,4,3,3,4,3,3,9,12,11
326,0,17,0,1,3,3,1,1,0,0,1,0,4,3,5,8,5,3,14,15,16
327,0,17,0,1,2,2,4,1,0,1,1,0,4,4,5,10,4,8,11,10,10
328,1,17,0,1,4,4,1,3,0,1,1,0,5,4,4,4,4,7,10,9,9
329,1,17,0,1,4,4,2,3,0,1,1,1,4,3,3,3,4,4,14,14,14
330,0,18,1,1,2,2,1,4,0,1,1,0,4,5,5,6,5,2,9,8,8
331,1,17,0,1,2,4,1,3,0,1,1,1,4,4,3,2,5,7,12,14,14
332,1,18,0,1,3,3,1,2,0,0,1,0,5,3,4,2,4,0,7,0,0
333,1,18,1,1,2,2,1,2,0,0,1,1,4,3,3,2,2,0,8,8,0
334,1,18,0,1,2,2,2,4,0,0,0,0,4,4,4,2,4,0,10,9,0
335,1,17,0,1,3,4,1,3,0,0,1,0,4,4,5,4,5,16,16,15,15
336,1,19,0,0,3,1,1,3,1,0,0,0,5,4,3,3,5,12,14,13,13
337,1,17,0,1,3,2,1,2,0,1,1,1,4,3,2,5,2,0,7,8,0
338,1,18,1,1,3,3,1,4,0,1,1,0,5,3,3,2,1,7,16,15,17
339,1,17,0,0,3,2,1,2,0,1,1,0,4,3,3,5,2,4,9,10,10
340,1,19,0,1,2,1,1,3,1,0,1,1,4,3,4,4,3,4,11,12,11
341,0,18,0,1,4,4,1,2,1,1,1,0,4,3,3,4,2,0,10,10,0
342,0,18,1,1,3,4,1,2,0,0,1,1,4,3,3,4,5,11,16,15,15
343,1,17,0,0,2,2,1,2,1,1,1,1,3,3,1,3,4,0,9,8,0
344,1,18,0,1,2,3,1,3,0,1,1,0,4,3,3,3,3,4,11,10,10
345,1,18,0,1,3,2,1,3,0,0,1,1,5,4,3,5,1,7,13,13,14
346,0,18,0,1,4,3,1,3,0,0,1,1,5,3,2,3,4,9,16,15,16
347,0,18,0,1,4,3,1,3,0,1,1,1,5,4,5,5,5,0,10,10,9
348,1,17,0,1,4,3,1,3,0,1,1,1,4,4,3,4,4,0,13,15,15
349,0,18,0,1,3,2,2,1,1,1,1,0,2,5,5,10,5,10,11,13,13
350,0,19,0,1,1,1,3,2,3,0,1,0,5,4,4,6,2,8,8,7,8
351,0,17,0,1,3,3,2,2,0,1,1,0,4,5,4,5,3,2,13,13,13
352,0,18,1,1,1,3,1,1,1,0,1,1,4,3,3,5,3,7,8,7,8
353,0,19,0,1,1,1,3,1,1,1,1,0,4,4,4,6,5,4,8,8,8
354,0,17,0,1,4,3,2,2,0,1,1,1,4,5,5,4,2,4,13,11,11
355,1,18,0,1,3,3,1,2,0,1,0,1,5,3,4,2,5,0,10,9,9
356,1,17,0,1,4,4,2,2,0,1,1,0,4,3,3,3,5,4,12,13,13
357,1,17,1,0,3,2,2,2,0,0,0,1,1,2,3,3,5,2,12,12,11
358,0,18,1,1,1,1,2,1,0,0,1,1,3,3,2,3,3,4,10,10,10
359,1,18,1,1,1,1,2,3,0,0,1,0,5,3,2,2,4,0,18,16,16
360,1,18,1,0,1,4,3,2,0,0,0,1,4,3,4,5,5,0,13,13,13
361,0,18,1,1,1,1,2,2,1,0,0,0,4,4,3,5,5,2,13,12,12
362,1,18,0,1,3,3,2,2,0,1,1,1,4,3,2,4,3,0,11,11,10
363,1,17,1,1,4,4,1,2,0,1,1,1,2,3,4,2,1,0,16,15,15
364,1,17,0,1,1,2,2,2,0,0,0,0,3,2,2,3,3,0,12,11,12
365,0,18,0,1,1,3,2,2,0,1,0,0,3,3,4,6,3,4,10,10,10
366,0,18,1,1,4,4,2,3,0,0,1,1,4,2,2,4,5,0,13,13,13
367,1,17,0,1,1,1,3,1,1,1,1,1,5,2,1,3,1,0,7,6,0
368,1,18,0,1,2,3,2,1,0,1,1,1,5,2,3,3,4,0,11,10,10
369,1,18,0,1,4,4,3,2,0,1,1,1,3,2,2,6,5,10,14,12,11
370,1,19,1,1,3,2,2,2,2,0,0,1,3,2,2,2,3,4,7,7,9
371,0,18,1,1,1,2,3,1,0,1,1,1,4,3,3,5,3,3,14,12,12
372,1,17,0,1,2,2,1,3,0,0,0,1,3,4,3,2,3,8,13,11,11
373,1,17,0,1,1,2,1,1,0,0,1,0,3,5,5,4,1,14,6,5,5
374,1,18,1,1,4,4,2,3,0,0,1,0,5,4,4,2,1,0,19,18,19
375,1,18,0,1,1,1,4,3,0,0,1,0,4,3,2,3,4,2,8,8,10
376,1,20,0,1,4,2,2,3,2,1,1,1,5,4,3,2,3,4,15,14,15
377,1,18,1,1,4,4,1,2,0,0,1,0,5,4,3,7,2,4,8,9,10
378,1,18,0,1,3,3,1,2,0,0,1,1,4,1,3,3,1,0,15,15,15
379,1,17,0,1,3,1,1,2,0,1,1,0,4,5,4,5,1,17,10,10,10
380,0,18,0,1,4,4,1,2,0,0,1,0,3,2,4,5,2,4,15,14,14
381,0,18,0,1,2,1,2,1,0,0,1,1,4,4,3,4,5,5,7,6,7
382,0,17,0,1,2,3,2,2,0,0,1,0,4,4,3,2,3,2,11,11,10
383,0,19,0,1,1,1,2,1,1,0,0,0,4,3,2,4,5,0,6,5,0
384,0,18,0,1,4,2,2,1,1,0,0,0,5,4,3,7,3,14,6,5,5
385,1,18,0,1,2,2,2,3,0,0,0,0,5,3,3,4,4,2,10,9,10
386,1,18,0,1,4,4,3,1,0,1,1,1,4,4,3,4,5,7,6,5,6
387,1,19,0,1,2,3,1,3,1,0,1,0,5,4,2,3,5,0,7,5,0
388,1,18,1,1,3,1,1,2,0,1,1,0,4,3,4,2,1,0,7,9,8
389,1,18,0,1,1,1,2,2,1,0,0,0,1,1,1,2,5,0,6,5,0
390,0,20,1,0,2,2,1,2,2,1,0,0,5,5,4,9,4,11,9,9,9
391,0,17,1,1,3,1,2,1,0,0,1,0,2,4,5,7,2,3,14,16,16
392,0,21,0,1,1,1,1,1,3,0,0,0,5,5,3,6,3,3,10,8,7
393,0,18,1,1,3,2,3,1,0,0,1,0,4,4,1,7,5,0,11,12,10
394,0,19,1,1,1,1,1,1,0,0,1,0,3,2,3,6,5,5,8,9,9
